etf,date,RIC,Name,Country,Weight,No. Shares,Change,source_file,RIC_missing
EEM,2015-12-31,005930.KS,SAMSUNG ELECTRONICS CO LTD ORD,KOREA,0.034278,686788.0,-29087.0,Derived Holdings 2026-04-13 EEM 2015.xlsx,False
EEM,2015-12-31,2330.TW,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD ORD,TAIWAN,0.030986,153236000.0,-6395000.0,Derived Holdings 2026-04-13 EEM 2015.xlsx,False
EEM,2015-12-31,0700.HK,TENCENT HOLDINGS LTD ORD,CHINA,0.029424,32194800.0,-1201900.0,Derived Holdings 2026-04-13 EEM 2015.xlsx,False
EEM,2015-12-31,0941.HK,CHINA MOBILE LTD ORD,CHINA,0.0200669999999999,38267000.0,-1600500.0,Derived Holdings 2026-04-13 EEM 2015.xlsx,False
EEM,2015-12-31,0939.HK,CHINA CONSTRUCTION BANK CORP ORD,CHINA,0.016666,523707760.0,-21372000.0,Derived Holdings 2026-04-13 EEM 2015.xlsx,False
EEM,2015-12-31,NPNJn.J,NASPERS LTD ORD,SOUTH AFRICA,0.015786,2484117.0,-101651.0,Derived Holdings 2026-04-13 EEM 2015.xlsx,False
EEM,2015-12-31,1398.HK,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD ORD,CHINA,0.012878,459163085.0,-18672000.0,Derived Holdings 2026-04-13 EEM 2015.xlsx,False
EEM,2015-12-31,BABA.N,ALIBABA GROUP HOLDING ADR REP 8 ORD,HONG KONG,0.011809,3128339.0,,Derived Holdings 2026-04-13 EEM 2015.xlsx,False
EEM,2015-12-31,3988.HK,BANK OF CHINA LTD ORD,CHINA,0.010253,494452000.0,-20038000.0,Derived Holdings 2026-04-13 EEM 2015.xlsx,False
EEM,2015-12-31,2317.TW,HON HAI PRECISION INDUSTRY CO LTD ORD,TAIWAN,0.010199,89263902.0,-1224000.0,Derived Holdings 2026-04-13 EEM 2015.xlsx,False
EEM,2015-12-31,INFY.NS,INFOSYS LTD ORD,INDIA,0.008887,11451198.0,-484669.0,Derived Holdings 2026-04-13 EEM 2015.xlsx,False
EEM,2015-12-31,2318.HK,PING AN INSURANCE (GROUP) CO OF CHINA LTD ORD,CHINA,0.008377,32505000.0,-1388000.0,Derived Holdings 2026-04-13 EEM 2015.xlsx,False
EEM,2015-12-31,HDFC.NS^G23,HOUSING DEVELOPMENT FINANCE CORPORATION LTD ORD,INDIA,0.008279,9330510.0,-409979.0,Derived Holdings 2026-04-13 EEM 2015.xlsx,False
EEM,2015-12-31,BIDU.OQ,BAIDU ADS REP 8 CL A ORD,CHINA,0.007559,860903.0,,Derived Holdings 2026-04-13 EEM 2015.xlsx,False
